         11521085 function calls (10993404 primitive calls) in 5.859 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.017    1.017    5.860    5.860 /Users/adamkudelas/Documents/GitHub/RayTrace/RayTraceV2b.py:129(Render)
   208652    0.407    0.000    1.783    0.000 /Users/adamkudelas/Documents/GitHub/RayTrace/RayTraceV2b.py:47(<listcomp>)
   834608    0.383    0.000    0.383    0.000 /Users/adamkudelas/Documents/GitHub/RayTrace/RayTraceV2b.py:34(Sphere_Intersect)
    16206    0.365    0.000    0.501    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/ffi.py:188(__call__)
   200000    0.214    0.000    0.466    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:93(_clip_dep_is_scalar_nan)
   317304    0.191    0.000    0.248    0.000 /Users/adamkudelas/Documents/GitHub/RayTrace/RayTraceV2b.py:12(Normalize)
   208652    0.155    0.000    1.938    0.000 /Users/adamkudelas/Documents/GitHub/RayTrace/RayTraceV2b.py:46(Nearest_Intersected_Sphere)
469663/269153    0.131    0.000    1.080    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   100000    0.122    0.000    0.122    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:108(_clip_dep_invoke_with_casting)
   100000    0.107    0.000    0.744    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:127(_clip)
   470360    0.092    0.000    0.092    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/serialize.py:30(_numba_unpickle)
   200252    0.091    0.000    0.127    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3152(ndim)
        1    0.080    0.080    0.108    0.108 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
    55617    0.079    0.000    0.129    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:2342(norm)
124051/21350    0.074    0.000    0.099    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ir.py:317(_rec_list_vars)
   200252    0.069    0.000    0.252    0.000 <__array_function__ internals>:177(ndim)
  1012246    0.059    0.000    0.075    0.000 {built-in method builtins.isinstance}
94096/47992    0.046    0.000    0.120    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/pprint.py:551(_safe_repr)
   100000    0.044    0.000    0.856    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2111(clip)
   100021    0.044    0.000    0.067    0.000 /Users/adamkudelas/Documents/GitHub/RayTrace/RayTraceV2b.py:8(ToNP)
   255753    0.040    0.000    0.040    0.000 {built-in method numpy.asarray}
   106070    0.040    0.000    0.094    0.000 <__array_function__ internals>:177(dot)
   100000    0.039    0.000    0.930    0.000 <__array_function__ internals>:177(clip)
   200000    0.038    0.000    0.049    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:103(_clip_dep_is_byte_swapped)
   100019    0.036    0.000    0.812    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
      380    0.029    0.000    0.030    0.000 {built-in method io.open}
     9838    0.029    0.000    0.131    0.000 {built-in method builtins.sorted}
    17611    0.029    0.000    0.048    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/_utils.py:16(register)
276215/275960    0.028    0.000    0.054    0.000 {built-in method builtins.getattr}
      183    0.027    0.000    0.027    0.000 {method 'read' of '_io.BufferedReader' objects}
